"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.147067800E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.620036500E-2,-1.188859344E-3,-8.413876407E-3,1.556205750E-2,1.773088650E-2
6.093010500E-2,1.037177444E-2,2.307333797E-2,1.356697083E-2,2.870566717E-2
6.565979200E-2,2.395135164E-2,1.907013729E-2,5.686092377E-2,6.457942423E-2
7.038953200E-2,1.924309134E-2,1.905414648E-2,1.675605774E-2,3.184529060E-2
7.511927200E-2,7.997691631E-3,5.891777575E-3,1.396465302E-2,1.713731742E-2
7.984895900E-2,-1.388221979E-3,3.036295995E-3,-1.881027222E-2,1.910425593E-2
8.457869900E-2,-1.374423504E-2,-1.822606474E-2,-5.416774750E-2,5.878127509E-2
8.930838600E-2,-2.925264835E-2,8.386131376E-4,-2.686786652E-2,3.972786124E-2
9.403812600E-2,-2.611041069E-3,7.446743548E-4,-1.556110382E-2,1.579620295E-2
9.876786500E-2,1.064801216E-2,2.789063379E-3,3.155994415E-2,3.342437901E-2
1.034975530E-1,3.172168136E-2,3.543825448E-2,7.062625885E-2,8.514812615E-2
1.082272920E-1,4.039955139E-2,2.388649620E-2,2.983379364E-2,5.561244192E-2
1.129569800E-1,-2.433121204E-3,-1.115125045E-2,1.658439636E-2,2.013237860E-2
1.176867190E-1,-1.563578844E-2,-1.426734030E-3,-2.697658539E-2,3.121297181E-2
1.224164590E-1,-1.247903705E-2,-1.481850632E-2,-3.202247620E-2,3.742664127E-2
1.271461470E-1,-4.899203777E-4,-4.406664521E-4,-4.140567780E-2,4.141092081E-2
1.318758860E-1,-1.859007776E-2,-9.498942643E-3,1.516151428E-2,2.580101583E-2
1.366055740E-1,1.186195016E-2,9.053630754E-3,5.745887756E-2,5.936494506E-2
1.413353130E-1,2.950689197E-2,2.451033704E-2,5.458545685E-2,6.671570576E-2
1.460650530E-1,7.678657770E-3,2.810930833E-3,4.286384583E-2,4.363682386E-2
1.507947400E-1,5.169808865E-4,2.753194422E-3,6.633758545E-3,7.200979183E-3
1.555244800E-1,5.926489830E-4,-2.022311650E-2,-2.342700958E-2,3.095400543E-2
1.602541670E-1,-1.779830456E-2,-1.707160100E-2,-1.556777954E-2,2.916461839E-2
1.649839070E-1,-5.689024925E-3,-4.936853424E-3,1.146316528E-3,7.619157953E-3
1.697135940E-1,3.726094961E-3,-9.390117601E-3,4.714298248E-2,4.821326466E-2
1.744433340E-1,8.242487907E-3,1.855598576E-2,6.153297424E-2,6.479637439E-2
1.791730740E-1,3.341400623E-2,8.618908003E-3,4.086589813E-2,5.348647509E-2
1.839027610E-1,-4.679262638E-3,-7.842937484E-3,4.781723022E-3,1.030883322E-2
1.886325010E-1,-1.382005215E-2,4.033919424E-3,-3.703403473E-2,3.973394110E-2
1.933622400E-1,-6.435483694E-3,-5.347482860E-3,-2.425384521E-2,2.565657871E-2
1.980919280E-1,4.614591599E-4,-1.897086017E-2,-2.117061615E-2,2.843064312E-2
2.028216670E-1,4.634559155E-4,-9.149236605E-3,-4.278182983E-3,1.011069589E-2
2.075513550E-1,4.100203514E-4,5.023231730E-3,5.858707428E-2,5.880345437E-2
2.122810940E-1,2.832281590E-2,2.347213216E-2,4.528522491E-2,5.834273291E-2
2.170108340E-1,2.278530598E-2,1.352526248E-2,1.144218445E-2,2.886219809E-2
2.217405220E-1,-1.048186421E-2,1.084661111E-2,-1.448917389E-2,2.091541561E-2
2.264702610E-1,-1.487991214E-2,-2.439125068E-2,-5.140495300E-2,5.881168326E-2
2.311999490E-1,-3.550463915E-2,-1.441943832E-2,-6.175041199E-2,7.267470663E-2
2.359296880E-1,-2.531987429E-2,6.936829537E-3,-2.752590179E-2,3.803801924E-2
2.406594280E-1,-2.471414208E-2,6.727188826E-3,3.854465485E-2,4.627887537E-2
2.453891150E-1,6.300717592E-3,2.054911852E-2,2.360439301E-2,3.192385759E-2
2.501188550E-1,1.315748692E-2,2.707555704E-2,4.176235199E-2,5.148105763E-2
2.548485420E-1,1.056301594E-2,-1.329888031E-2,3.376960754E-3,1.731592871E-2
2.595782820E-1,-1.075157523E-2,1.515841484E-2,-5.053901672E-2,5.384761946E-2
2.643080220E-1,-1.986987889E-2,-2.728437074E-2,-3.773117065E-2,5.062499592E-2
2.690377090E-1,4.000723362E-3,-1.265736856E-2,-3.692817688E-2,3.924162349E-2
2.737674490E-1,6.249606609E-3,-3.056621179E-3,8.380889893E-3,1.089219129E-2
2.784971360E-1,1.363456249E-3,1.338182203E-2,4.104614258E-2,4.319395785E-2
2.832268760E-1,2.012225986E-2,1.544714533E-2,3.083896637E-2,3.993196072E-2
2.879566150E-1,1.742494106E-2,1.281275228E-2,2.084541321E-2,3.003874904E-2
2.926863030E-1,1.710599661E-2,8.706413209E-4,-2.416896820E-2,2.962283174E-2
2.974160420E-1,-4.340767860E-3,-2.262016386E-2,-3.545951843E-2,4.228346634E-2
3.021457300E-1,-1.839897037E-2,-1.278732158E-2,-4.654979706E-2,5.166160383E-2
3.068754690E-1,-3.973037004E-3,1.508651301E-3,-4.570388794E-2,4.590105036E-2
3.116051570E-1,1.495298743E-2,8.496565744E-3,3.270435333E-2,3.695075357E-2
3.163348970E-1,2.887591720E-2,-1.101618633E-3,5.094623566E-2,5.857090647E-2
3.210646360E-1,4.922538996E-3,1.299355179E-2,5.712413788E-2,5.878971769E-2
3.257943240E-1,9.590685368E-3,-8.449131623E-3,3.261947632E-2,3.503425904E-2
3.305240630E-1,7.092952728E-3,1.152409241E-3,-2.207183838E-2,2.321215360E-2
3.352537510E-1,-2.482920885E-3,-2.001620270E-2,-3.819370270E-2,4.319227006E-2
3.399834900E-1,-2.127040923E-2,-1.979142614E-2,-3.522300720E-2,4.565951263E-2
3.447131780E-1,-2.330081165E-2,3.986377269E-3,3.035545349E-3,2.383345470E-2
3.494429170E-1,-4.067003727E-3,2.268104814E-2,4.305171967E-2,4.883053379E-2
3.541726570E-1,1.254102588E-2,1.990574226E-2,5.181694031E-2,5.690791867E-2
3.589023440E-1,2.185529470E-2,-8.703084663E-3,3.452491760E-2,4.177759597E-2
3.636320840E-1,9.753465652E-3,5.593501031E-3,8.067131042E-3,1.383820614E-2
3.683618240E-1,-1.160374284E-2,-1.570228487E-2,-2.979469299E-2,3.562207642E-2
3.730915110E-1,-1.846903563E-2,-2.728506364E-2,-4.823875427E-2,5.841709843E-2
3.778212510E-1,7.769942284E-3,-1.982738823E-2,-2.159118652E-2,3.032617125E-2
3.825509380E-1,-4.181772470E-3,1.109668240E-2,3.536224365E-2,3.729761195E-2
3.872806780E-1,1.239019632E-2,1.562413573E-2,4.431533813E-2,4.859505918E-2
3.920103650E-1,5.124449730E-3,2.014922537E-2,4.843139648E-2,5.270532642E-2
3.967401050E-1,9.794980288E-3,-6.000762805E-3,3.596591949E-2,3.775576987E-2
4.014698440E-1,-1.860880852E-2,8.353842422E-3,-3.065586090E-2,3.682195331E-2
4.061995320E-1,-2.079515159E-2,-3.899304569E-2,-3.261280060E-2,5.492258829E-2
4.109292720E-1,-3.471520543E-2,-2.671177499E-2,-3.833770752E-3,4.397001489E-2
4.156589590E-1,-1.194596291E-3,-5.109723657E-3,3.305435181E-3,6.201793119E-3
4.203886990E-1,-5.890697241E-3,3.509850055E-2,5.999374390E-2,6.975567620E-2
4.251183860E-1,8.384406567E-3,1.576351002E-3,6.869983673E-2,6.922752865E-2
4.298481260E-1,1.069006324E-2,6.302511320E-3,3.947734833E-2,4.138188169E-2
4.345778650E-1,-3.556609154E-3,1.812267676E-2,-3.574371338E-3,1.881108748E-2
4.393075530E-1,1.261502504E-3,1.391705126E-3,-2.955055237E-2,2.961019042E-2
4.440372920E-1,-1.187771559E-3,-1.280344278E-2,-3.156185150E-2,3.408063113E-2
4.487669800E-1,-3.665208817E-3,1.529408619E-3,-2.645492554E-2,2.675137252E-2
4.534967190E-1,-6.057620049E-3,2.271020226E-2,3.537654877E-2,4.247291196E-2
4.582264590E-1,1.293271780E-2,2.477397583E-2,7.046985626E-2,7.580900811E-2
4.629561470E-1,1.990270615E-2,1.974682510E-2,3.889942169E-2,4.795018062E-2
4.676858860E-1,-6.343781948E-3,1.956991106E-2,1.478958130E-2,2.533686451E-2
4.724155740E-1,-2.996037900E-2,2.796541899E-3,-2.088737488E-2,3.662959713E-2
4.771453130E-1,-2.490767837E-2,-2.010025084E-3,-5.143928528E-2,5.718769721E-2
4.818750010E-1,-1.760163903E-2,-1.384040527E-2,-5.324649811E-2,5.776299919E-2
4.866047400E-1,-2.935151756E-2,5.067028105E-4,8.905410767E-3,3.067694039E-2
4.913344800E-1,1.349872351E-2,-4.304630682E-3,4.197502136E-2,4.430178100E-2
4.960641670E-1,6.323069334E-3,2.409876138E-2,2.494907379E-2,3.525886823E-2
5.007939070E-1,-7.484853268E-4,3.328255191E-2,5.548572540E-2,6.470667829E-2
5.055235940E-1,-1.254311204E-2,-2.585250884E-3,-3.038597107E-2,3.297454199E-2
5.102533340E-1,-3.135615587E-2,-3.334799781E-2,-6.799125671E-2,8.196406810E-2
5.149830220E-1,-3.342124820E-2,-3.068382852E-2,-3.175544739E-2,5.537946914E-2
5.197127610E-1,4.937112331E-3,-1.371244155E-2,-4.566192627E-2,4.793138473E-2
5.244425010E-1,-1.168811321E-2,1.011464186E-2,2.116203308E-2,2.620590801E-2
5.291721880E-1,1.931801438E-2,7.574582472E-3,4.465866089E-2,4.924384197E-2
5.339019280E-1,1.914685965E-2,9.887708351E-3,3.711128235E-2,4.291405700E-2
5.386316150E-1,1.895070076E-2,7.494267076E-3,8.299827576E-3,2.200409589E-2
5.433613550E-1,-7.297515869E-3,-9.133461863E-3,-6.529045105E-2,6.632885392E-2
5.480910420E-1,-1.912672818E-2,-1.860039309E-3,-5.044364929E-2,5.398011885E-2
5.528207820E-1,-1.898835599E-2,5.259115249E-3,-4.522895813E-2,4.933431473E-2
5.575505220E-1,-6.965100765E-3,7.571250200E-3,-2.114295959E-3,1.050269992E-2
5.622802090E-1,1.683637500E-2,1.460709237E-2,3.111457825E-2,3.827463455E-2
5.670099490E-1,3.093355894E-2,2.160866000E-2,4.269218445E-2,5.697755583E-2
5.717396360E-1,6.974369287E-3,1.668551378E-2,4.230690002E-2,4.601002050E-2
5.764693760E-1,2.353763580E-2,1.417964324E-2,-2.213573456E-2,3.528559658E-2
